Phenolic Composites, 5447652, 5447652, 5447652, 5025968, 5146928, 2693860, 2938308, 1745508, 5053452, 4674312, 8149736, 9239216, 8959872, 8647120, 8562280, 7460900, 7460900, 6984380, 6336900, 6309180, 6277412, 1440692, 2419292, 5099744, 5019524, 4033364, 4017404, 4311824, 2048024, 1802056, 1267760, 2976676, 4169476, 3364668, 5888252, 6022956, 5975304, 6883444, 6633964, 6141724, 6633964, 2483524, 2372336, 2364776, 2542856, 2348468, 5329168, 5328748, 5166968, 6883920, 6857040, 6666432, 5789232, 6173532, 6175212, 5968720, 2825440, 1918000, 4225820, 2875940, 3582800, 3582800, 3490400, 2753816, 2166108, 2712108, 3497564, 1847804
Phenolic Composites[Vanadium Hafnite], 3634708, 3634708, 3792348, 3548325, 3761965, 2126587, 2363612, 2303692, 4508988, 4370748, 4355437, 4592737, 4407208, 4258347, 4260027, 3787713, 3868073, 3550393, 3788640, 4018240, 3998321, 2307121, 2837721, 3188569, 3310089, 2769409, 2795309, 3031069, 3039609, 2968031, 2648373, 2729251, 3510731, 3031312, 4725321, 5238764, 5372476, 5978883, 5757963, 5402083, 5522483, 2809003, 2698197, 2562677, 2698477, 2599965, 4511773, 4723173, 4614760, 4889160, 4871240, 4742768, 3806008, 4054368, 4055488, 3917827, 3253527, 2828887, 3865393, 2967433, 3445813, 3560893, 3522393, 2796977, 2432892, 2532152, 3162749, 2062909
Titanium Chromide, 2805500, 2825660, 3172220, 3220100, 6223620, 6369480, 7401600, 7530960, 7323480, 7419240, 6754580, 2189500, 1861900, 2878720, 2763200, 2567020, 2567020, 2386420, 4418220, 4401420, 7231660, 7231660, 6621820, 6153940, 4101360, 3972840, 3974520, 3974940, 898124, 933404, 687704, 768280, 549316, 549316, 642660, 1390124, 1663700, 1368768, 135040, 160960, 160960, 352480, 1523564, 1891484, 2618924, 2615144, 2877224, 3359804, 3357704, 1334660, 2777216, 2663816, 3497900, 2996000, 2418920, 2131640, 2119720, 1892080, 1767760, 5246280, 5247540, 5247540, 5247540, 5124060, 5176140, 5181180, 5192520, 5192520
Phenolic Composites[Caesarium Cadmide], 2376388, 2376388, 2407188, 2412225, 2498465, 2486387, 2669512, 1882712, 2581608, 2328848, 4886457, 5566857, 5176228, 4957507, 4900947, 4055113, 4248313, 4490633, 4148580, 3698620, 3529041, 1830561, 1796961, 3334729, 3638949, 3390589, 3450509, 3758929, 2258409, 2472431, 2133173, 2864211, 3103891, 2847352, 2703301, 2654224, 3444256, 4814923, 4650003, 4321843, 4615283, 4604643, 4044997, 4419917, 4289437, 3662985, 3870159, 3869739, 3761186, 4631420, 4406860, 4279788, 3655788, 3816928, 3818608, 3500907, 2097827, 1451147, 3001733, 3014333, 3015593, 3097353, 3174353, 1890617, 1498812, 1867292, 2600789, 2144949
Phenolic Composites[Silicon Diborite], 3404548, 3451308, 3451308, 3323065, 3249705, 1538307, 1651992, 887592, 3074128, 3121248, 5445057, 6004497, 5798668, 5575747, 5518627, 4655993, 4738593, 4471593, 4092580, 4070460, 4024641, 793721, 1442481, 3217409, 3174989, 2541629, 2509709, 2774729, 1265809, 1253031, 742973, 1918931, 2714971, 2376112, 4089021, 3931584, 3918016, 4523443, 4402119, 4389239, 4389239, 1622279, 1534433, 1549917, 1549917, 1419065, 3405919, 3389259, 3274826, 4390340, 4390340, 4263268, 3937748, 3937048, 3929488, 3791827, 1725147, 1123827, 2667413, 1793533, 2265193, 2269393, 2283393, 1750617, 1358812, 1724492, 2231189, 1577389
Phenolic Composites[Caesarium Cadmide, Vanadium Hafnite], 1784496, 1784496, 1925826, 1957429, 2121859, 2112800, 2305689, 2267049, 2791221, 2687541, 2856553, 3000088, 2707641, 2588330, 2589590, 2151670, 2356840, 2538580, 2784465, 2633055, 2506816, 2382916, 2266366, 2342602, 2702017, 2603317, 2675662, 2936587, 2949502, 3179318, 2952280, 2706758, 2876228, 2726664, 2627341, 2908263, 3624897, 4653632, 4488992, 4222082, 4286342, 4318472, 3871228, 4054558, 3969508, 3522979, 3621865, 3780310, 3698475, 3698475, 3530055, 3433701, 2701731, 2816706, 2817966, 2579690, 2600795, 2251025, 3037435, 3048355, 3054655, 3202285, 3277360, 2138788, 1865724, 1943529, 2573872, 2231992
Fullerides[Platinum Technite], 3540356, 4066756, 4066756, 4066756, 3698220, 3562140, 3589720, 4317720, 4002632, 4002632, 3087172, 2866440, 2667640, 2957240, 3027660, 3323480, 3333140, 2960608, 2995468, 2867264, 2796940, 2768588, 2573992, 2483036, 2497756, 2578396, 2721196, 3037316, 2828992, 3442332, 3198976, 3415696, 3471460, 3471460, 3319660, 2547940, 2724132, 2776072, 2839072, 2839072, 2737108, 2737108, 1968620, 2286240, 2302760, 2298000, 2387440, 2394160, 2360280, 2360280, 2542956, 3096544, 3081424, 3116284, 2516260, 1898792, 2341008, 2138568, 1956988, 2064508, 2064508, 1742496, 1925244, 2000844, 2390604, 2718628, 2714708, 2711348
Nanotransistors[Neo Mercurite, Platinum Technite], 1522185, 1952055, 3214785, 3141165, 3147570, 3102630, 3123315, 3130125, 2170815, 2321250, 1770840, 1678800, 1251375, 1323687, 1376502, 2221857, 2290842, 2351997, 2370288, 1813305, 1795725, 2885340, 2180475, 1612425, 1971123, 1022958, 1739508, 2537835, 2513580, 2512095, 2571450, 2819955, 2909415, 2909415, 3114840, 3339645, 3420540, 3007485, 3581835, 3562935, 3878280, 4134930, 5225370, 5987250, 6009930, 6007200, 5961780, 5842080, 4983255, 4968480, 5116980, 4778040, 3997665, 4163565, 3721860, 3488970, 2116770, 2056920, 483957, 1193577, 1105167, 1100757, 2057622, 2114154, 2179044, 2017710, 1067235, 1067235
Phenolic Composites[Silicon Diborite, Vanadium Hafnite], 2555616, 2590686, 2708916, 2640559, 2685289, 1401740, 1542549, 1520709, 3160611, 3281841, 3275503, 3328318, 3174471, 3052010, 3052850, 2602330, 2724550, 2524300, 2742465, 2911935, 2878516, 1605286, 2000506, 2254612, 2354047, 1966597, 1970062, 2198437, 2205052, 2264768, 1909630, 1997798, 2584538, 2373234, 3666631, 3866283, 3980217, 4435022, 4303079, 4272629, 4116809, 2081699, 1988305, 1902058, 1914868, 1840039, 3273685, 3419950, 3333705, 3517665, 3517665, 3421311, 2913201, 2906796, 2901126, 2797880, 2321285, 2005535, 2786695, 2132755, 2491855, 2581315, 2609140, 2033788, 1760724, 1836429, 2296672, 1806322
Sylramic Fibers[Hexite], 2111248, 2117968, 2117968, 2024920, 1361576, 1078720, 1237700, 1971860, 2183780, 2041260, 1549720, 1274280, 1136136, 1593032, 1668772, 2273184, 2282004, 2351048, 2328020, 3720304, 3720304, 3716384, 3418744, 2885872, 2570640, 2529200, 2518000, 2486640, 2436624, 2302420, 2308020, 1724020, 1636860, 1636860, 1837620, 1997756, 2064764, 2037464, 1968864, 1931296, 2023152, 2056192, 1919640, 1820240, 2481000, 2481000, 3046360, 3209040, 3235920, 3279040, 3227520, 2881312, 2874592, 2812292, 2197248, 2441968, 2502900, 2276156, 2340136, 2672160, 3067080, 3037960, 3067500, 3341620, 3563324, 3565844, 3648724, 3648724
