Fullerides[Platinum Technite], 3335987, 2173633, 2540128, 3085078, 3169447, 2871038, 3010836, 4376249, 4423759, 3722508, 3593417, 2663326, 2773389, 2952589, 3717997, 3561063, 3507370, 2254372, 2319769, 2219749, 2385005, 2298922, 2624506, 2892410, 3136235, 2464463, 2585335, 2189351, 2503903, 1690427, 1732447, 1493889, 1637429, 1919534, 2141527, 2152293, 2091203, 2678971, 3686005, 3383224, 3414786, 3659688, 3226167, 3143332, 3161512, 2511776, 2871851, 2903665, 2845714, 2848545, 2678863, 2040419, 1950244, 2340883, 2306111, 2223534, 2553934, 2169803, 3038471, 2800852, 2394359, 2494907, 2580479, 3178051, 3224195, 1946551, 1859149, 1873857, 1900992, 1894717, 2000983, 2064977, 2064059, 2131867, 2083676, 1909682, 1905398, 1356993, 1344333, 1466809, 1204057, 1250215, 1658480, 968747, 1308539, 1855199, 2388637, 2009460, 2111509, 807120, 1296898, 1660552, 1911138, 1693218, 1861151, 1074682, 1141030, 1145269, 1418823, 1480168, 1488736, 1564437, 1536891, 1517778, 1531915, 1798789, 2363667, 2374063, 991558, 639017, 967886, 1525270, 1321699, 1036141, 940483, 821446, 931117, 863917, 418712, 876004, 1544351, 1989338, 1893023, 1870825, 1961556, 2118350, 2098843, 2672983, 2667579, 2757257, 2964402, 2963321, 2726273, 2480213, 2470074, 1946976, 1787754, 1460028, 1461879, 1021125, 955437, 415718
Fullerides[Carbon Polymers/Platinum Technite], 2612541, 1885163, 2183670, 2578887, 2646137, 2418593, 2525876, 3542032, 3572251, 3044727, 2965634, 2280918, 2207881, 2340739, 2920643, 2806797, 2790224, 2034613, 1912894, 1821171, 1945113, 1872155, 1976880, 2200835, 2387131, 1989512, 2080166, 2042059, 2266021, 1507953, 1539511, 1503113, 1626488, 1682613, 1836469, 1678938, 1823395, 2072252, 2844321, 2619845, 2637429, 2889467, 2576258, 2477692, 2478543, 1985243, 2196541, 2248943, 2196452, 2119008, 1990354, 1501151, 1503108, 1719007, 1693120, 1612397, 1896611, 1517670, 2164158, 1982260, 1832534, 1734632, 1797290, 2452842, 2488414, 1543484, 1421948, 1422484, 1470200, 1467208, 1356135, 1405844, 1551267, 1627913, 1669532, 1586879, 1583559, 1179848, 1171348, 998649, 1060893, 1074070, 1126660, 605933, 903724, 1317976, 1760780, 1517278, 1524045, 531536, 891951, 1289186, 1367716, 1206739, 1324977, 738031, 787792, 773046, 983609, 1029189, 1060857, 1128159, 1160737, 1068927, 1067799, 1267608, 1690195, 1700762, 684998, 421514, 668808, 1115330, 949907, 907008, 808418, 718716, 809817, 761306, 638554, 652568, 1174391, 1512141, 1435527, 1421020, 1491103, 1609522, 1756073, 2085360, 2085591, 2086279, 2238517, 2244775, 2231308, 2050156, 2004243, 1609450, 1486855, 1233199, 1094227, 763400, 712527, 317919
Crystalline Carbonide[Crystallite Alloy], 514776, 786547, 1436717, 1576090, 1524967, 541634, 697584, 726175, 1212221, 1219218, 491446, 487050, 873796, 878509, 858945, 606302, 536907, 906711, 1210018, 1211874, 1361243, 1088440, 1625353, 1587226, 1738241, 1595441, 1526897, 1096025, 1094169, 1203200, 1360361, 1275299, 1565275, 1915135, 1945480, 2244625, 1810700, 1982815, 1783038, 1612951, 2006381, 2526942, 2270972, 2001260, 2227044, 2262615, 1773657, 1243754, 920417, 1096850, 882973, 854230, 734745, 899511, 742146, 931024, 517060, 1221191, 1446530, 1438676, 1090338, 1285767, 1220573, 748165, 650519, 1050167, 878277, 739190, 733439, 789131, 1855037, 1884168, 1610626, 1829939, 2238954, 2045889, 1532763, 1401693, 992201, 1211381, 504997, 305138, 633007, 830380, 1018375, 1066717, 1068844, 485453, 1477663, 1491657, 1060400, 899667, 1395460, 1611729, 1562035, 1518814, 1423384, 1003535, 1082944, 1203169, 1403498, 1308041, 1398772, 1414337, 1280499, 1789908, 1804424, 1936340, 1742600, 1902023, 1725662, 1464598, 1516993, 1346753, 1863341, 2110776, 2100685, 2307012, 2091670, 2598795, 2203389, 2281944, 2267664, 1730969, 1739109, 2193602, 1938259, 2078489, 1330258, 1399069, 1176586, 1277487, 1047722, 1109840, 827064, 719310, 700198, 544746, 705539, 758083, 671218, 653654
Titanium Carbide[Silicon Diborite/Titanium Chromide], 1195422, 1060016, 1221201, 1162510, 1330353, 1323234, 1424739, 1413882, 1296715, 1121360, 1041893, 970978, 896344, 1468914, 1334166, 1513932, 1413464, 1596155, 1673183, 1283845, 1275747, 466380, 660155, 596618, 638039, 766828, 940809, 833521, 881649, 1124069, 1324288, 1206951, 1257752, 1566586, 1833702, 1311302, 1333579, 979944, 964808, 917014, 1219687, 1274934, 928371, 730913, 762888, 738210, 1247992, 1286242, 868470, 889033, 1005271, 1199300, 1208129, 1080162, 958999, 890472, 1318035, 1474968, 1498375, 949228, 822581, 1315754, 1330102, 1417315, 1176021, 981772, 1100701, 1655701, 1763427, 1976984, 2036060, 1648250, 1668921, 1475498, 1160688, 1161238, 779343, 813748, 570950, 1157220, 644108, 1256265, 1284968, 1294018, 1322817, 1228935, 1143053, 939413, 967591, 594921, 568495, 783920, 671220, 615461, 627250, 462173, 489213, 471451, 449944, 804228, 917141, 2113060, 2060539, 2173498, 2094920, 2094597, 2009167, 1907678, 1699816, 1375586, 1336644, 664386, 673835, 674514, 953737, 1087050, 1185594, 1291909, 1204574, 1185510, 1005961, 849623, 849913, 701201, 750685, 772028, 654478, 688226, 1037617, 1078957, 1753769, 1779897, 1730446, 1633212, 1514890, 1372206, 1063457, 971780, 761385, 637800, 297650, 307655
Crystalline Carbonide[Carbon Polymers/Crystallite Alloy], 496633, 844848, 1356111, 1447146, 1412777, 671541, 790937, 804476, 1163597, 1167260, 639156, 648711, 783186, 785178, 776353, 590727, 562377, 1023868, 1080581, 1065266, 1177292, 964293, 1227516, 1221947, 1338636, 1337746, 1286338, 1222065, 1208720, 1142533, 1260446, 1339171, 1572373, 1679313, 1689434, 1748187, 1613019, 1550135, 1417096, 1292141, 1581125, 2039907, 1859861, 1621138, 1777692, 1798372, 1372896, 1004009, 752479, 805237, 643436, 611509, 591484, 637978, 520146, 643014, 368956, 806211, 970202, 960628, 854518, 827777, 777360, 630428, 558158, 871196, 686294, 571483, 594536, 638019, 1246675, 1270237, 1211192, 1401467, 1785991, 1689034, 1304082, 1213373, 907249, 807077, 536597, 365262, 357555, 502158, 686101, 726614, 770936, 374273, 1048660, 1044939, 714578, 718522, 980957, 1145622, 1100640, 1071130, 999558, 666745, 731700, 821440, 996929, 935862, 1057148, 991346, 879237, 1260947, 1270762, 1372469, 1248280, 1368768, 1237140, 1069826, 1096378, 1139967, 1500561, 1685713, 1686994, 1843628, 1893272, 1944661, 1668669, 1731596, 1716508, 1316128, 1324268, 1665961, 1635635, 1639489, 1082600, 1067638, 897655, 980400, 972394, 1022376, 771986, 688701, 671187, 546737, 526972, 566118, 499363, 496371
Titanium Carbide[Titanium Chromide], 1397002, 1490592, 1683371, 1626251, 1728532, 1842772, 1948553, 1887261, 1726183, 1396742, 1286788, 1271688, 1157610, 1913040, 1731399, 2002360, 1764959, 1992512, 2095216, 1554421, 1546908, 202793, 722014, 604740, 657968, 622459, 1079990, 1012338, 1057802, 1133865, 1686011, 1529562, 1632711, 1753783, 2122134, 1722653, 1722653, 1249855, 654922, 987792, 1075707, 1130542, 945104, 785454, 860075, 835168, 1599558, 1261408, 1162514, 1242768, 1396601, 1647685, 1557282, 1534600, 1356235, 1572545, 2092077, 2238775, 1876634, 1146633, 1249038, 2144630, 2163760, 2242916, 1598010, 1393042, 1481357, 2242446, 2605530, 2888274, 3058510, 2546142, 2587987, 2194144, 1586878, 1619027, 1253987, 1297289, 985839, 1613420, 927986, 1912672, 1951228, 1969006, 1760728, 1635266, 1682903, 1357975, 1201819, 723347, 648098, 1166303, 1001757, 926411, 630387, 364389, 352696, 719776, 716718, 1188526, 911026, 2998144, 2944823, 3103740, 3027387, 3009109, 2895202, 2535439, 2237583, 1619491, 2005905, 1108991, 1095841, 1103135, 1461438, 1634047, 1738879, 1819835, 1670567, 1639723, 1460121, 1269663, 830894, 623473, 682312, 710505, 555509, 665488, 1230614, 1295873, 2147241, 1964457, 1898808, 1810118, 1714442, 1523912, 1111291, 999907, 952212, 770296, 317334, -78731
Phenolic Composites[Silicon Diborite/Vanadium Hafnite], 1142320, 1739626, 1876393, 2119723, 1088018, 1208839, 3520602, 3826500, 1968454, 1859297, 1522127, 1745164, 1707633, 326835, 220813, -37247, 717937, 259059, 466516, 686185, 1319549, 1852158, 2274406, 2589708, 2591636, 2273407, 2745912, 2087462, 2739808, 2324789, 2506255, 2898348, 2910665, 2729453, 1783562, 2024081, 2047631, 1247165, 1119372, 1172836, 273482, 441356, -108029, 450169, 626299, 684532, 794351, 476278, 2443100, 3147818, 3248994, 2174900, 1995562, 734699, 676409, 601370, 511741, 1927817, 1759955, 1878845, 787326, 948508, 871316, 1307884, 2677031, 2548513, 2503668, 1570746, 1940573, 1940326, 1483496, 1577612, 1463034, 838205, 2386226, 2359558, 977116, 818211, 1101283, 1774455, 1273334, 1299349, 1367204, 935720, 401250, 489089, 1334451, 1076062, 366178, 1594722, 2838079, 3338725, 2254396, 3758361, 3726561, 3540998, 1454052, 1419335, 1180717, 992506, 1010667, 945073, 2619182, 2662434, 2709816, 2134075, 2595749, 2394407, 2213278, 2097076, 2306715, 1507720, 1026409, 2157284, 1505347, 1567612, 304719, 369112, 482017, 489495, 1183837, 1679232, 1265324, 1038639, 1056846, 1469470, 1440935, 1443888, 1422845, 1008236, 897914, 756616, 638699, 540403, 599688, 574198, 592895, 133758, 180503, 825607, 780625, 1172823
Sylramic Fibers[Ceramic Powder/Hexite], 408257, 469160, 676099, 819581, 1514028, 1514158, 1625311, 1153057, 1146315, 1101311, 1101430, 1101035, 1003183, 954463, 754906, 795203, 798239, 529662, 644242, 1086574, 1089877, 693826, 596600, 611094, 529282, 663521, 950917, 934127, 1203776, 1548430, 1548216, 2037258, 1969422, 2426534, 2730039, 4466460, 4349709, 3064496, 2382566, 2335481, 2605203, 2664343, 2672933, 2584101, 1788904, 1484926, 1558116, 1839010, 1561477, 1582469, 1524867, 1281933, 1274513, 1042637, 988031, 935711, 971056, 674923, 388233, 205949, 124024, 180866, 289216, 1037816, 1017833, -373403, 292994, 127582, 171631, 379596, 919053, 924943, 1005959, 1243264, 2270541, 2244988, 2087917, 1842361, 1236364, 1325139, 1302770, 1268863, 728659, 646055, 549878, 519061, 608884, 472738, 607945, 495272, 510119, 920954, 927483, 837506, 890723, 1033171, 1061873, 1028171, 918226, 1239032, 1287830, 1897950, 1893578, 1927314, 1523353, 1337674, 1686017, 1701315, 1399926, 1295537, 1448816, 1340668, 1305184, 1356485, 1658339, 2038497, 2139796, 2145687, 2061706, 2082905, 2149307, 2242194, 2541376, 2633566, 2643188, 2080543, 2090024, 2118828, 2033663, 2022655, 2105015, 2122641, 2113659, 1727334, 1388846, 1282163, 1155842, 996587, 702169, 454947, -42134, -60288
Phenolic Composites[Caesarium Cadmide/Silicon Diborite/Vanadium Hafnite], 1925507, 2471896, 2714179, 2597824, 2435792, 2563899, 2782595, 3298919, 3022499, 2758593, 2552261, 2553638, 2513086, 1371227, 1236126, 934225, 766648, -137498, 391750, 597121, 1347669, 1257963, 1432636, 1644095, 1645637, 1474164, 1811041, 1805847, 1860064, 1566862, 1767641, 1590672, 1567966, 1524270, 1422825, 802372, 752668, 752139, 668065, 673908, 121551, 255850, 158561, 434170, 575074, 621661, 728078, 725788, 608292, 883220, 965446, 1120481, 925517, 894513, 842104, 779893, 572815, 607426, 444349, 585728, 836911, 969284, 914385, 1386488, 1490673, 1386058, 1471566, 1215822, 873917, 873719, 454020, 321465, 403304, 1381640, 1429547, 1317392, 1138117, 977662, 978328, 1210769, 1039554, 1260000, 1314455, 1015744, 658209, 733792, 1233733, 1181589, 1278545, 1303984, 1288417, 1515345, 2372611, 2599537, 2993672, 2823459, 2744378, 2395132, 2328309, 2036392, 1898153, 1746219, 2142719, 2175950, 2214797, 2068977, 1835733, 1650069, 1446133, 1354200, 1412155, 1168437, 616141, 1673865, 1686949, 1744129, 677095, 409431, 652608, 743414, 833927, 1232985, 1408965, 1227617, 1266576, 1220268, 1187158, 1407148, 1390313, 1033008, 634760, 858656, 747015, 644636, 480435, 423372, 424535, -181563, -133886, 452627, 419591, 332233
Tungsten Carbide[Rolled Tungsten Alloy], 296264, 339300, 721585, 1554896, 1554896, 1291037, 690386, 877350, 1079142, 829392, 598108, 439457, 404674, 418674, 11030, 68207, 655937, 747186, 629275, 432071, 488976, 261532, 228077, 191581, 428853, 448500, 514617, 343713, 874743, 891986, 1074698, 1098039, 1107235, 1284022, 1686124, 1339938, 1185143, 1195615, 1553111, 2296249, 1706782, 1710864, 1824935, 1968306, 1840547, 1512964, 1246107, 1506288, 1807399, 2313882, 2305885, 1619914, 1475198, 1710659, 1728224, 1712207, 1771719, 920660, 846714, 1085246, 1100624, 1068780, 879776, 1264279, 1203221, 527329, 1058719, 784174, 1343363, 1578695, 1083980, 945456, 1081294, 1222042, 1020853, 725686, 517072, 417661, 497957, 852195, 837321, 785370, -122796, 226147, 454913, 580666, 825814, 590458, 766102, 896110, 687198, 1506887, 1594531, 1594711, 1648689, 1545550, 1480445, 1593828, 1345118, 495083, 285026, 295179, 788658, 1265095, 1277519, 1045897, 669047, 779145, 311423, 484434, 756182, 706274, 255617, 227450, 593018, 824493, 1403153, 1408090, 1258950, 1179411, 1195281, 1473342, 1628109, 1671842, 1370820, 1129326, 1334529, 1362597, 1479978, 1214586, 1389659, 1797937, 1789369, 1667704, 637280, 618627, 308835, 556411, 919265, 1036276, 1093967, 1111674
